text,section,header,div,p,s,id
"Reassuringly, a recent study found an effect of choice on self-reported curiosity with a medium effect size (Schutte & Malouff, 2019), in line with the notion that our study was adequately powered to detect such effects.",method,Participants,3,1,5,09567976221082637
"An a priori power analysis revealed that we required 400 participants to detect effect sizes of minimal interest for all of our hypotheses (for details about the power analysis, see <https://osf.io/fx4rh/>).",method,Participants,4,1,1,09567976221082941
This low power is reflected in the wide CIs around the estimated subgroup effects.,results,Reporting bias,12,3,5,09567976221083219
"These factors may have decreased power to detect a true moderating effect, resulting in wide CIs around the meta-regression estimates.",discussion,Discussion,14,7,5,09567976221083219
"When people are in power, they use that power to display dominant behaviors and disproportionately occupy space.",abstract,Abstract,0,2,1,09567976221094036
"Having power is associated with positive affect and disinhibited behavior, whereas being in lowpower positions is associated with attention to threat and inhibited social behavior (Keltner et al., 2003).",abstract,Abstract,0,2,2,09567976221094036
"People in power are more likely to be first, to spend more time talking, and to deviate from social norms and expectations in group settings, which are behaviors that directly translate to Q&A sessions ( J K Burgoon & Dunbar, 2006;Galinsky et al., 2003;Hall et al., 2005).",abstract,Abstract,0,2,3,09567976221094036
"Historically, men have held more power than women, and power dynamics fall along gendered lines, particularly when it comes to using collective speaking space (Lips & Lips, 1991).",abstract,Abstract,0,3,1,09567976221094036
"such acts violate gender norms (Rudman, 1998) and are more likely to avoid male-dominated domains because of the anticipated lack of power they would have in those spaces (Chen & Moons, 2015).",intro,[div-01],1,1,1,09567976221094036
"Gendered power differentials also impact academic spaces in which women are underrepresented and paid less and in which their work is valued less (Gruber et al., 2021;Kaatz & Carnes, 2014;Knobloch-Westerwick et al., 2013;Llorens et al., 2021;Schroeder et al., 2013;Vásárhelyi et al., 2021).",intro,[div-01],1,2,1,09567976221094036
"These gendered power differences can be seen behaviorally in departmental seminar and conference Q&A sessions, where, relative to women, men participate more (Carter et al., 2018;Hinsley et al., 2017;Käfer et al., 2018;Pritchard et al., 2014;Schmidt & Davenport, 2017;Telis et al., 2019).",intro,[div-01],1,2,2,09567976221094036
"In addition to the choice of whether to participate in Q&A sessions, there could be gender differences in how men and women communicate when at the microphone because of differences in how power impacts communication styles ( J K Burgoon & Dunbar, 2006;Tannen, 1993).",intro,[div-01],1,3,1,09567976221094036
"Men are more likely to increase their speaking time relative to their power (Brescoll, 2011;Mast, 2002), which could manifest in men taking longer speaking turns compared with women.",intro,[div-01],1,3,2,09567976221094036
"Power can be demonstrated in a multitude of ways, and knowing the scope of gender differences in Q&A-session behavior would inform the steps necessary to create more inclusive spaces.",intro,[div-01],1,3,7,09567976221094036
"In Study 1, we coded Q&A sessions from a filmed, single-track, interdisciplinary conference in the United States for markers of participation, whether the idea presented was a question or a comment, how many ideas were presented, and markers of power or dominance in how the attendee asked the question.",intro,Statement of Relevance,3,1,11,09567976221094036
"In Study 2, we sought to conceptually replicate Study 1 with a more natural measure of information search and more statistical power.",method,Overview,5,4,1,09567976221094782
"In this experiment, sample size was determined through bootstrapped power analyses (Strong & Alvarez, 2019) on pilot data collected with a smaller sample (N = 40).",method,Overview,5,4,4,09567976221094782
These power analyses revealed that a sample size of 200 (100 for each condition) would yield a simultaneous power of .775 for all of our key analyses.,method,Overview,5,4,5,09567976221094782
"Participants in the ultimatum game were nonsignificantly less self-biased compared with participants in the dictator game in Study 1, and significantly so in Study 2, which was better powered to detect effects (Study 1: b game = 0.968, SE = 1.467, z = 0.660, two-tailed p = .509, r = .258, 95% CI = [-.465, .727]; Study 2: b game = 0.917, SE = 0.417, z = 2.202, preregistered one-tailed p = .014, r = .245, 95% CI = [.028, .431]).",fig,,3,NA,2,09567976221094782
"The procedure demonstrates sufficient power to detect medium-to-large effects in adequately large samples ( Jones et al., 2020).",method,Statistical analyses,8,6,4,09567976221101045
"Because no prior research has directly addressed the question at hand, we did not have an a priori estimate of the effect size of the crucial time-bycomplexity interaction for a formal power analysis.",method,Method,4,1,4,09567976221114055
"Still, we decided on a sample size of 75 prior to data collection, as this is enough to detect moderate effect sizes (Cohen's d = 0.4 or more in 80% power; Batterink et al., 2015;Forest et al., 2021), which is conservative and smaller than the typical effects observed in various statistical-learning paradigms.",method,Method,4,1,5,09567976221114055
"Sample size was determined prior to data collection on the basis of the results of a power analysis using the data from Experiment 1, and it was preregistered on OSF (<https://osf.io/anxvd>).",method,Method,9,2,4,09567976221114055
"This provided us with an expected power value at each sample size (i.e., from 10-75), which allowed us to determine that after ~35 participants, we continuously achieved 90% power to detect the estimated interaction (Real-Time Entropy × Trial) from Experiment 1.",method,Method,9,2,9,09567976221114055
"Because our original power analysis suggested that even with 45 participants we were well powered to detect our effect of interest (namely, the Real-Time Entropy × Trial interaction), we chose to analyze the data at that point rather than collect the last three participants' data.",method,Method,9,2,12,09567976221114055
"Using their posterior distributions, we applied the joint significance test to primary results, because it has the most power and most accurate Type I error rates relative to other tests of threepath mediated effects (MacKinnon et al., 2002;Taylor et al., 2008).",method,Data-analysis plan,10,3,4,09567976221116816
"Given that mutual infidelity events were relatively rare (n = 111, resulting in insufficient power; for sensitivity analyses, see the Supplemental Material available online), we decided to focus on unilateral perpetrator and victim infidelity events here and report the analyses of mutual infidelity in the Supplemental Material.",method,Participants,8,3,2,09567976221116892
"Second, following Austin (2010), we applied the nearest neighbor propensity-score-matching procedure with replacement ( = 2; matching each individual in the infidelity sample to two individuals in the pool of potential control participants; this method has a number of advantages, such as increasing power and reducing random pruning).",method,Participants,8,5,3,09567976221116892
"Although this could be partially explained by differences in power (for sensitivity analyses, see the Supplemental Material), the nature of infidelity-disclosed versus secret-could have played a role, too.",discussion,Discussion,19,6,6,09567976221116892
"Given that our median sample size (N = 2,270) already yielded very high statistical power (> .95) for even a miniscule and negligible effect (ΔR² = .005; Jobst et al., in press), we did not consider statistical significance.",method,Statistical Analysis,9,3,3,09567976221116893
A post hoc power analysis revealed that a sample size of 309 was sufficient to detect a correlation (r = .24) between test anxiety and academic achievement with high statistical power (b = 0.99).,method,Statement of Relevance,4,1,9,09567976221119391
"These findings demonstrate that what we hear has profound impacts on how we perceive the visual world. performed a power analysis on the data obtained from Experiment 1a and found that we could adequately detect effects of sound on report error as low as Cohen's d z = 0.45 with a sample size of 40 (power of .8 and an α of .05; using the base R package pwr; Champley et al., 2018).",method,Statement of Relevance,4,1,7,09567976221121348
"Here, participants were shown object A and object B (the unique images that anchored the end points of the continuum) and reported whether a test morph (randomly selected from the continuum) was visually more similar to object A or B From these data, we generated psychophysical curves and selected three morphs from each object-pair continuum that corresponded to the points where 20%, 50%, and 80% of responses indicated that the morph appeared more as object A relative to object B Note that although we aimed to introduce variability and greater ambiguity in the target stimulus set by selecting three different steps for each object pair, we planned to collapse data across these different morph levels for our main analysis to obtain adequate power.",method,Statement of Relevance,4,3,2,09567976221121348
"Thus, the power spectrum of the resulting noise image was correlated with that of all silhouettes and was completely unrecognizable.",method,Statement of Relevance,4,4,3,09567976221121348
"Calculations in G*Power (Version 3.1;Faul et al., 2007), based on a previous study of cardiac gating on emotional valence (Garfinkel et al., 2014), indicated that a sample size of 35 would be needed to obtain an effect size (f 2 ) of .40 at a power of 85% with an α of .05, which is consistent with other studies in the field (Azevedo et al., 2018;Li et al., 2020).",method,Method,5,1,3,09567976221131519
"The effect size obtained in Study 1 (η p 2 = .093) suggested that at least 27 participants were needed to obtain a power of 95% (power analysis run in G*Power Version 3.1; Faul et al., 2007).",method,Method,8,2,2,09567976221131519
"We required 159 participants on the basis of a power analysis conducted using G*Power (Faul et al., 2009) to detect a medium effect (Cohen's f = .25) in a between-subjects one-way analysis of variance (ANOVA) with three levels.",method,Method,4,1,2,09567976221131520
"A power analysis conducted using G*Power (Faul et al., 2009) indicated that 140 participants would be required to detect the expected two-way interaction with 80% power for a factorial ANOVA with four groups and four measurements on the repeated factor.",method,Method,8,1,4,09567976221131520
We set our sample sizes by rounding up to a larger number of participants than suggested by power analyses with power of .8 and a significance level (p) of .05.,method,General Method,4,2,1,09567976221134476
"When we had no basis for estimating an effect size for the power analysis (Experiments 1a, 5, and 6) or when a pilot study indicated a small effect size (Experiment 3 and 7), we assumed a small effect (ϕ) of .10 (Cohen, 1988).",method,General Method,4,2,2,09567976221134476
Such sample sizes risk a relatively low statistical power to detect small to medium age and sex effects.,intro,[div-01],1,2,13,09567976221140326
The sample size was determined through a power analysis based on the data of a pilot experiment (reported in the Supplemental Material).,method,Method,8,1,2,09567976221140341
"This analysis revealed that a sample size of 35 participants was required to obtain 80% power to detect a between-conditions difference at least as large as the one observed between the large-and small-aperture conditions in the pilot experiment (reported in the Supplemental Material), on the basis of a paired-samples t contrast.",method,Method,8,1,3,09567976221140341
"We tested 38 participants (25 females, two other; age: M = 28 years, SD = 5) to arrive at the desired sample size of 35 (based on a power analysis; see Method of Experiments 2 and 3).",method,Method,12,1,2,09567976221140341
"Behavior that lies close to the agency dimension (also referred to as ""status,"" ""power,"" or ""competence"") is characterized by high levels of dominance and confidence, and behavior that lies close to the communion dimension (also referred to as ""affiliation,"" ""warmth,"" or ""love"") is characterized by high levels of warmth and friendliness (Wiggins, 1979).",intro,[div-01],1,1,4,09567976221147258
"Agentic behavior is usually self-beneficial (Abele & Wojciszke, 2007), meaning that if persons behave in a dominant and assertive fashion, such behavior typically brings about benefits for the actor themselves, such as high power or increased access to resources.",intro,[div-01],1,3,2,09567976221147258
Power analysis,method,Power analysis,8,0,1,09567976221147258
"With a power of 80%, one would be able to detect a significant effect size r of .23.",method,Power analysis,8,1,4,09567976221147258
"Yet, given our sample size of 309 dyads and thus 618 behavioral and liking assessments, it would be possible to detect a significant effect size r of .11 with a power of 80%.",method,Power analysis,8,2,2,09567976221147258
"For example, actors with a strong power motive might have spotted insecure interaction partners early during their interactions and then increased their agentic behavior in order to dominate the conversation.",discussion,Discussion,13,4,5,09567976221147258
"The analysis indicated that a sample size of 28 would be required, which we increased to 30 to allow for a 10% anticipated dropout rate and to identify effects of tACS on past and future MTT with a power greater than .95.",method,Statement of Relevance,4,2,4,09567976221147259
"We deliv ered tACS using a battery-powered direct-current stimulator (neuroConn DC-Stimulator Plus, Ilmenau, Germany) through a pair of rubber electrodes (5 cm × 7 cm) enclosed in saline-soaked sponges and fixed on the head by elastic bands.",method,Statement of Relevance,4,5,2,09567976221147259
We report two preregistered and well-powered experiments that provide the first evidence for the effects of art-produced awe on children's prosocial behavior toward strangers.,abstract,Abstract,0,1,5,09567976221150616
We tested this hypothesis in two preregistered and well-powered studies: an online experiment (Study 1) and a field experiment (Study 2).,intro,The Present Research,4,1,2,09567976221150616
"A power analysis demonstrated that 158 participants were needed to detect a small effect size (odds ratio = 1.5) in a two-tailed negative binomial regression (α = .05, β = 0.80).",method,Method,7,1,2,09567976221150616
"Although our research demonstrated the power of awe to promote children's prosocial behavior, it is important to consider potential limits on the generalizability of the findings.",discussion,Limitations and future directions,15,1,1,09567976221150616
A power analysis (calculated using the pwr package in the R programming environment; Version 3.6.1.,method,Participants,5,1,2,09567976231151581
"; R Core Team, 2019; see Champely, 2020) indicated that a sample of 21 participants per group would be needed to obtain statistical power at a 0.80 level (α = .05) to detect a small-to-medium difference among conditions (d = 0.37 or f = 0.185).",method,Participants,5,1,3,09567976231151581
"We note that this analysis has greater power than our analysis of efficiency in training because there were more dyslexia participants using the optimal strategy in the information-integration task during the test (information integration-dyslexia: N = 9, control: N = 17; rule based-dyslexia: N = 16, control: N = 16).",results,Generalization,18,2,5,09567976231151581
"Because of our previous encounters with laptops, we have learned which parts of the laptop are most likely to contain the power button.",intro,[div-01],1,4,3,09567976231154804
"We chose to collect 80 data sets for each experiment after replacement of outliers (see below) on the basis of an a priori power analysis (α = .05, power = .85) using G*Power (Version 3.1;Faul et al., 2007), which yielded a projected sample size of 76 for the simplest within-group comparison in a study with a small to medium effect size (d = 0.35).",method,Method,4,3,4,09567976231154804
"An optimal sample size of 28 participants was determined a priori using G*Power software (Faul et al., 2007) with 80% power to detect small to medium effects (Cohen's f = 0.14) of food deprivation on self-reported measures of stress and mood (MacCormack & Lindquist, 2019) with .05 α error probability and correlation among repeated measures of .5.",method,Method,5,1,3,09567976231156413
"Sensitivity analysis showed that expected sample size (~11.5% of the full sample, i.e., 109 participants) would provide us with 80% power for determining medium effect sizes (Cohen's d = 0.6) for the main effects and small effect sizes (Cohen's d = 0.2) for interactions.",method,Method,8,5,6,09567976231156413
To reach a statistical power adequate to detect minor,intro,The Present Investigation,2,4,2,09567976231156793
The consequent lack of statistical power may thus be one of the sources of the nonrandom variance observed in Seblova et al.'s (2020) meta-analysis.,intro,Statement of Relevance,3,2,3,09567976231156793
"Pivotal to the aims of this study, we (a) employed data that met the requirements for statistical power and (b) incorporated both gc and gf measures in a single model to account for their shared variance.",intro,Statement of Relevance,3,3,4,09567976231156793
"The semPower R package (Moshagen & Erdfelder, 2016) was employed for power analysis.",method,Statistical analysis,8,2,3,09567976231156793
Power analysis.,method,Statistical analysis,8,3,1,09567976231156793
A post hoc power analysis was run.,method,Statistical analysis,8,3,3,09567976231156793
"A sample size of 1,892 was associated with nearly 100% power to reject an incorrect model (amount of misspecification set at root-mean-square error of approximation [RMSEA] = 0.050, α = .005).",method,Statistical analysis,8,3,4,09567976231156793
"Overall, these results confirmed that the model possessed enough statistical power to reliably detect small longitudinal changes.",results,Main analysis,17,2,8,09567976231156793
"Crucially, these null findings are hardly attributable to low statistical power.",discussion,Discussion,18,1,16,09567976231156793
"Using G*Power (Faul et al., 2007), we predetermined that a sample size of 150 would be necessary to detect a medium-size between-subjects effect with an α of .05 and a statistical power of .80 in a mixed ANOVA for Studies 1 and 2.",intro,Measures.,5,4,5,09567976231158288
We predetermined that a sample size of 60 would be needed to detect a medium-size effect with an α of .05 and a statistical power of .80 in a logistic regression.,method,Method,13,6,3,09567976231158288
We ran a priori power analyses to estimate the appropriate sample size for a bivariate correlation (Hypothesis 1 vs. 1 alt ) based on the correlation (r = .24) observed by Wood et al.,method,Method,5,1,3,09567976231158570
Detecting a correlation of .24 with 80% power would require at least 133 participants who do not believe the official version of events.,method,Method,5,1,5,09567976231158570
"This sample size also provided 80% power for the Fisher's r-to-z tests (Hypothesis 2) to detect an effect size below medium (q = .269) in the case of highly skewed distributions (e.g., at least 133 participants disbelieve and 667 believe the official version); for more even distributions (e.g., 400 believers and 400 disbelievers), this sample size provided 80% power to detect even smaller effect sizes (q = .199).",method,Method,5,1,7,09567976231158570
The target sample of our power analysis (at least 133 participants who disbelieved the official version of events) was reached for seven out of eight topics.,results,Results,6,1,2,09567976231158570
"A total of 5,261 participants responded to the questionnaire containing the measures for the present project (2,942 men, 2,319 women; age: M = 51.37 years, SD = 18.28), yielding high statistical power to investigate the current hypotheses.",method,Method,9,1,5,09567976231158570
"On the basis of the same power analysis as in Study 1, we solicited 805 US participants through Note: All conspiracy beliefs were measured on a 5-point scale (1 = strongly disagree, 5 = strongly agree).",method,Method,13,1,2,09567976231158570
"We note that for four of the topics (climate change, Hitler's suicide, the killing of bin Laden, and the death of Elvis Presley), the number of participants who disbelieved the official story was below the required number according to our power analysis (n = 133); we will revisit this issue in the General Discussion.",results,Results,14,1,3,09567976231158570
"On the basis of the same power analysis as in Studies 1 and 3, we recruited 801 US participants through Prolific.",method,Method,17,1,2,09567976231158570
"For two of the topics (climate change and the killing of bin Laden), the number of participants who disbelieved the official story was below the required number according to our power analysis.",results,Results,18,1,3,09567976231158570
The sample sizes and power calculation were based on our previous knowledge and experience with similar experimental models and anticipated biological variables.,method,Subjects,4,1,8,09567976231160098
The advantage of polygenic scores is that they can be used to index relevant genetic factors in samples of unrelated individuals by leveraging the statistical power of meta-analysis results from large genome-wide association studies (GWASs).,intro,[div-01],1,3,3,09567976231160702
"Training and testing polygenic scores in different ancestry groups has been shown to reduce predictive power (Carlson et al., 2013;Duncan et al., 2019;Martin et al., 2017).",method,Analytic methods,5,1,2,09567976231160702
"At this level of simulated noise, we estimated 100% power (α = .05) to detect a stronger IPS association with crystallized performance than with fluid performance.",results,Sensitivity analyses to address test reliability,11,1,4,09567976231160702
"Because of broad ancestral diversity in the ABCD cohort, there was limited power for comparing the effects in different ancestry groups.",discussion,Limitations and Caveats,13,1,5,09567976231160702
"Participants contributed on average 2.33 observations for subjective age (range 1-7), resulting in an overall number of observations amounting to 34,792, which should correspond to sufficient statistical power to detect small to medium effect sizes.",method,Method,7,3,2,09567976231164553
This might have implications for the estimates of trajectories and for statistical power.,discussion,Limitations,12,2,2,09567976231164553
"This sample size provided approximately 80% power to detect a moderate to large effect size (ds = 0.5-0.7) and is consistent with or larger than sample sizes used in previous experiments on children's metaphor comprehension (e.g., Zhu et al., 2020, in press).",method,Participants,5,1,2,09567976231165267
"The sample size was determined by an a priori power calculation for a dependent-samples t test (based on the difference in mean avoidance behavior between conditions during the test of generalization; G*Power, Faul et al., 2009; α = .05, power = .80, d = 0.50), which yielded a minimum sample size of 34.",method,Participants,5,1,2,09567976231170878
"Because of the novelty of the paradigm and research question, we chose a moderate effect size for determining the power of the study.",method,Participants,5,1,3,09567976231170878
"We posted recruitment flyers in each university with a goal of attaining 90% statistical power to detect the average effect size (d = 0.43) in social psychology (Richard et al., 2003).",method,Method,10,3,3,09567976231172500
The final sample had 97% statistical power for this effect size.,method,Method,10,3,4,09567976231172500
"We targeted a sample size of 117 applicants, based on a medium effect size (φ = 0.3) and 90% power.",method,Method,13,4,3,09567976231172500
"To estimate the sample size, we ran a small pretest on Prolific and used the smallest effect size (d = 0.56) to estimate the sample size needed for 90% statistical power (N = 204).",method,Method,16,1,2,09567976231172500
"We compare the predictive power of measuring water using water resources per capita, water resources per land area, and precipitation (Table S3 in the Supplemental Material).",method,Method,18,3,2,09567976231172500
"Our power analysis indicated that we would require 191 participants to detect an effect of small to medium size ( J Cohen, 1992).",method,Method,19,1,2,09567976231173900
We treated this as a minimum and recruited 500 participants to ensure that our study was appropriately powered and to account for potential exclusions.,method,Method,19,1,3,09567976231173900
"As discussed in Study 3, our power calculation suggested that detecting a small to medium effect required approximately 200 participants.",method,Method,23,2,3,09567976231173900
We used the same power calculation as in Study 4a.,method,Method,26,2,2,09567976231173900
"Given that Studies 4a and 4b revealed a smaller effect size than Study 3, we performed a new power analysis in G*Power (Faul et al., 2009), averaging the effect sizes from Studies 3, 4a, and 4b, which indicated that a two-condition study required 779 participants for 80% power.",method,Method,30,1,2,09567976231173900
We used the same power analysis as in Study 5a.,method,Method,33,1,2,09567976231173900
"Because the size of encoding-speed adaptations is unknown, we could not base our sample size on formal power calculations.",method,Experiment 1: blocked presentation time,8,1,6,09567976231173902
The power analyses used to determine the necessary sample sizes are described in the Supplemental Material available online.,method,Method,5,1,7,09567976231177968
"Fifteen healthy infants between 184 and 261 days old (M = 220.40 days, SD = 20.17; four females; for the power analysis, see the Supplemental Material) with normal vision and hearing participated in Experiment 1a.",method,Method,9,1,2,09567976231177968
"We decided to use the same sample size as in Experiment 1 (for the related power analysis, see the Supplemental Material).",method,Method,13,1,5,09567976231177968
"We decided to use the same sample size as in Experiment 1 (for the related power analysis, see the Supplemental Material).",method,Method,17,1,5,09567976231177968
Statistical power.,method,Participants,8,6,1,09567976231180578
"A simulation-based sensitivity analysis conducted using simR (Green & MacLeod, 2016) suggested that a sample of 607 people would provide 80% power to detect a repetition effect of at least 1.4 points on the 100-point unethicality scale, smaller than the average difference of 2.3 points in laboratory studies of the moral-repetition effect (for details and analysis code, see <https://osf.io/gn92m/>).",method,Participants,8,6,2,09567976231180578
"Thus, this sensitivity analysis is a conservative estimate and likely overestimates the smallest effect size detectable at 80% power with our design.",method,Participants,8,6,4,09567976231180578
"Because we had strong directional predictions, we preregistered one-tailed significance tests to increase statistical power, but the results yielded identical conclusions with two-tailed tests.",results,Analytic approach,13,2,1,09567976231180578
"Mixed-effect models such as this, which include the maximum number of random effects, are ideal because they minimize the Type 1 error rate while preserving power (Barr et al., 2013).",results,Repeated wrongdoings seemed less unethical,14,1,3,09567976231180578
"Our sample size was determined on the basis of the resources available to fund the $10,000 gifts; a post hoc power analysis for a one-sample t-test with a sample size of 199 and an α of .05 revealed that we had 80% power to detect an effect of at least d = 0.2.",method,Participants,5,1,10,09567976231184887
"An a priori power analysis using effect sizes from a previous investigation (He & Côté, 2019) and an alpha level of .05 revealed that a sample size of 1,099 would provide .80 power to test the hypotheses.",method,Participants,5,2,2,09567976231185127
The power analysis revealed a large sample-size requirement because of the small effect sizes detected in previous studies and the type of analyses that we conducted.,method,Participants,5,2,3,09567976231185127
"Details of the power analysis, including calculations of effect sizes in past studies, appear in our online supplement.",method,Participants,5,2,4,09567976231185127
"In contrast, young adults may not yet have attained their full earning power, whereas older adults may no longer view income as a major source of self-esteem.",intro,Empirical Evidence,2,1,4,09567976231185129
"We included all available data and used full-information maximum likelihood estimation to account for missing data and maximize statistical power (Allison, 2003;Schafer & Graham, 2002).",method,Analyses,9,6,3,09567976231185129
"To derive an initial estimate of this relationship, we conducted an initial study using a convenience sample of 33 German-speaking participants (29 female, four male; 30 right handed, three left handed) between the ages of 18 and 55 years (age: M = 28.9 years, SD = 7.3) who were recruited through a research participant database maintained by the Max Planck Institute for Empirical Aesthetics and by advertisements on the institute website (see the Data Analysis section for post hoc power analysis).",method,Method Experiment 1A,2,2,1,09567976231188107
"A post hoc power analysis using G*Power (Version 3.1; Faul et al., 2009) indicated that a sample of 32 participants rating 148 images (total of 4,736 measurements), modeled using random predictors for participant intercepts, participant slopes, and item intercepts (213 total predictors), resulted in a power (β) of 0.89 to detect an overall R 2 of .0625 (e.g., correlation of r = .25, corresponding to ρ 2 0193 = .",method,Ratings for aesthetic appeal.,4,6,1,09567976231188107
The experiment was thus well powered to detect even smaller associations between self-relevance and aesthetic appeal.,method,Ratings for aesthetic appeal.,4,7,2,09567976231188107
"A sensitivity analysis using G*Power (Version 3.1; Faul et al., 2009) indicated that a sample of 208 participants rating 42 images (total of 8,736 measurements), modeled using random predictors for participant intercepts, participant slopes, and item intercepts (459 total predictors), was sensitive to detect an overall R 2 of .065 (e.g., correlation of r = .256, corresponding to ρ 2 0140 = .",method,Experiment 1B,5,9,2,09567976231188107
", calculated using a 95% CI) at a power (β) of 0.90 and alpha of .01.",method,Experiment 1B,5,10,1,09567976231188107
The experiment was thus well powered to detect very small associations between self-relevance and aesthetic appeal.,method,Experiment 1B,5,10,2,09567976231188107
"We conducted a power analysis using G*Power (Version 3.1; Faul et al., 2009) for a two-tailed paired-samples t test (power β = 0.8, α = .05) of the self-relevant versus otherrelevant conditions.",method,Experiment 2,6,1,3,09567976231188107
"On this basis, our analysis revealed that a sample of 15 participants would be required to detect an effect size f of 0.35 with a power of 80% at an alpha of .05.",method,Method,4,7,2,09567976231192241
"We further increased our sample to 45 in the main experiment and 20 in the control experiment to ensure sufficient statistical power to detect a difference between meaningless and meaningful stimuli and to also be able to demonstrate an effect of the learning manipulation in the main experiment (which might be expected to particularly benefit from a larger sample; e.g., Blalock, 2015).",method,Method,4,7,3,09567976231192241
"The study was conducted at a time when detailed power analyses were uncommon (2014), so sample size was only determined to clearly exceed the size of standard selective-exposure experiments reported in the literature.",method,Method,4,1,5,09567976231194590
"Because the study was conducted at a time when power analyses were quite uncommon (2015), sample sizes were determined by budgetary considerations only.",method,Method,7,2,1,09567976231194590
"Basis for the power analysis of the predicted interaction of conditions (control, friendly climate, oppositional climate) and conflict in Study 3 was a mixed-model simulation with data from Study 2.",method,Method,10,1,2,09567976231194590
The results showed that 180 participants are sufficient to achieve a power of 92.25%.,method,Method,10,1,5,09567976231194590
"As the preregistered analyses had power issues (relatively large dropout due to imprecise exclusion criteria; see the Participants and Design section), we repeated all analyses by applying only two out of three exclusion criteria as a robustness check.",results,Results,11,3,1,09567976231194590
"Fourth and most crucially, by modern standards the studies had some power issues.",discussion,Discussion,13,3,8,09567976231194590
The sample size was determined on the basis of a power analysis that indicated 90 participants would be sufficient to achieve 80% power and a medium effect size.,method,Method,5,1,4,09567976231198194
"To estimate the required sample size, we ran a power analysis using the simr package in R (Green & MacLeod, 2016).",method,Participants,7,1,1,09567976231199440
"Therefore, we ran the power analysis using 10 time points per participant.",method,Participants,7,1,4,09567976231199440
"Our analysis indicated that 400 participants would be sufficient to detect such an effect with 99.10% power, 95% CI = [98.30, 99.59] (see the Supplemental Material for additional details on the power analysis).",method,Participants,7,1,5,09567976231199440
"We report all measures and exclusions (see Supplemental File S2), along with power analyses justifying our sample sizes (see Supplemental File S3).",intro,Open practices statement,5,1,1,09567976231207095
Power analyses,method,Power analyses,10,0,1,09567976231218640
"G*Power was used for the a priori power analysis (Faul et al., 2007).",method,Power analyses,10,1,1,09567976231218640
"To detect an effect of the size of the lower bound of the smaller (and more relevant) effect on recognition accuracy, we needed a d z of 0.34, with 95% power required for a total sample size of 115 (two-tailed test).",method,Power analyses,10,1,7,09567976231218640
"This resulted in a total sample size of 230 for the replication study, equipping each of the direct replication conditions (no announcement for the Ackerman stimuli) with 95% power to detect an effect at the lower bound of the 95% CI of the original Ackerman findings.",method,Power analyses,10,1,9,09567976231218640
"For the central effect size, the double difference score of (White neutral -Black neutral) versus (White angry -Black angry), a sample size of 400 participants equipped us with 90% power to find evidence for equivalence in the critical smallest effect size of interest window from d z = -0.165 to d z = 0.165.",method,Power analyses,10,1,11,09567976231218640
"We estimated the sample size required for a between-subjects design with three conditions (mindful-gratitude practice, mindful-attention practice, and control) and a continuous moderator (collective narcissism) for an alpha level of .05 and power of .80.",method,Method,8,1,3,09567976231220902
"Our estimation produced a sample size of 432 (G*Power 3.1; Faul et al., 2009).",method,Method,8,1,4,09567976231220902
"We assumed an alpha level of .05 with power of .80, and we carried out the calculations via G*Power 3.1 (Faul et al., 2009).",method,Method,11,1,4,09567976231220902
We exceeded this N to account for attrition and assure a high-powered study.,method,Method,11,1,6,09567976231220902
"We assessed sexism with the 12-item short version of the Ambivalent Sexism Inventory (Rollero et al., 2014; e.g., ""Women seek to gain power by getting control over men,"" ""Many women have a quality that few men possess"").",method,Method,11,7,2,09567976231220902
"For a paired-samples t test (e.g., estimate differences between high-and low-friction conditions) and a minimally interesting effect size of .80 from piloting, a desired power of .80, and a Type I error rate of 5%, we obtained a group size of n = 15.",method,Participants,5,1,2,09567976231221789
"On the basis of pilot data, we determined that a minimum of 30 participants was sufficient to achieve power = 0.95 and α = 0.05.",intro,Participants,5,1,1,09567976231223130
"A G*Power (Version 3.1; Faul et al., 2009) analy sis using pilot data from 20 participants for a Bonferroni-corrected (for two comparisons) one-sample t test (d = 0.45, α = .05, p = .95) determined that we should recruit 67 participants.",method,Experiment 1a: method,4,1,2,09567976231223410
We used the same stopping rule as in Experiment 1a; we did not carry out a separate G*Power analysis for this experiment but rather used the same power calculation as in Experiment 1a to determine our sample size.,method,Experiment 2a: method,11,1,2,09567976231223410
"Also, with such statistical power, it can be assumed that the additional analyses that were undertaken would have provided evidence for the alternative hypothesis, if it had been well founded.",discussion,Discussion,9,5,7,09567976241227411
All sample sizes were set a priori and were sufficient to detect a small interaction ( f 2 = 0.06) with 80% power.,intro,Open Practices Statement,5,1,2,09567976241228504
"This threshold was set on the basis of a pilot experiment that revealed a small interaction ( f 2 = 0.06, 95% confidence interval, or CI = [0.02, 0.12]) and a subsequent power analysis that suggested that at least 47 participants per cell would be required to detect it.",intro,Open Practices Statement,5,1,3,09567976241228504
"Given that all simple effects of frame (e.g., prevent vs. fix) within the punishment and reward conditions in Experiments 1 through 4 were significant (and in opposite directions), we tested punishments and rewards separately in Experiments 5a and 5b to maximize statistical power.",method,Method,21,1,2,09567976241228504
"These studies have demonstrated correlations between HRV fluctuations and EEG power, particularly in the delta band (1-4 Hz).",intro,Statement of Relevance,2,4,4,09567976241235932
